Id_med;Pais_regiao;Total_Casos;Total_mortos;Total_Recuperados;Casos_Ativo;Serios_Criticos;Total_Testes;Regiao_ONU
1;USA;5032179;162804;2576668;2292707;18296;63139605;Americas
2;Brazil;2917562;98644;2047660;771258;8318;13206188;Americas
3;India;2025409;41638;1377384;606387;8944;22149351;South-EastAsia
4;Russia;871894;14606;676357;180931;2300;29716907;Europe
5;South Africa;538184;9604;387316;141264;539;3149807;Africa
6;Mexico;462690;50517;308848;103325;3987;1056915;Americas
7;Peru;455409;20424;310337;124648;1426;2493429;Americas
8;Chile;366671;9889;340168;16614;1358;1760615;Americas
9;Colombia;357710;11939;192355;153416;1493;1801835;Americas
10;Spain;354530;28500;;;617;7064329;Europe
11;Iran;320117;17976;277463;24678;4156;2612763;EasternMediterranean
12;UK;308134;46413;;;73;17515234;Europe
13;Saudi Arabia;284226;3055;247089;34082;1915;3635705;EasternMediterranean
14;Pakistan;281863;6035;256058;19770;809;2058872;EasternMediterranean
15;Bangladesh;249651;3306;143824;102521;;1225124;South-EastAsia
16;Italy;249204;35187;201323;12694;42;7099713;Europe
17;Turkey;237265;5798;220546;10921;580;5081802;Europe
18;Argentina;228195;4251;99852;124092;1150;794544;Americas
19;Germany;215210;9252;196200;9758;236;8586648;Europe
20;France;195633;30312;82460;82861;384;3992206;Europe
21;Iraq;140603;5161;101025;34417;517;1092741;EasternMediterranean
22;Philippines;119460;2150;66837;50473;239;1669996;WesternPacific
23;Indonesia;118753;5521;75645;37587;;1633156;South-EastAsia
24;Canada;118561;8966;103106;6489;2263;4319172;Americas
25;Qatar;112092;178;108831;3083;77;511000;EasternMediterranean
26;Kazakhstan;95942;1058;68871;26013;221;2163713;Europe
27;Egypt;95006;4951;48898;41157;41;135000;EasternMediterranean
28;Ecuador;90537;5877;71318;13342;378;258582;Americas
29;Bolivia;86423;3465;27373;55585;71;183583;Americas
30;Sweden;81967;5766;;;38;863315;Europe
31;Oman;80713;492;70910;9311;177;309212;EasternMediterranean
32;Israel;79559;576;53427;25556;358;1872453;Europe
33;Ukraine;76808;1819;42524;32465;158;1116641;Europe
34;Dominican Republic;76536;1246;40539;34751;317;281926;Americas
35;Panama;71418;1574;45658;24186;161;240995;Americas
36;Belgium;71158;9859;17661;43638;61;1767120;Europe
37;Kuwait;70045;469;61610;7966;127;522200;EasternMediterranean
38;Belarus;68503;580;63756;4167;;1344303;Europe
39;UAE;61845;354;55739;5752;;5262658;EasternMediterranean
40;Romania;57895;2566;28992;26337;458;1319369;Europe
41;Netherlands;56982;6153;;;37;1079860;Europe
42;Singapore;54555;27;48031;6497;;1474372;WesternPacific
